TradingDay,hc,rb,i,j,jm,au,ag,v,ru,l,pp,bu,TA,FG,MA,y,p,m,a,c,cs,jd,RM,CF,SR,OI
20180102,5075.305433022195,2716.4224674336842,1004.9871776327321,1991.7784146327456,1337.4859787486787,248.4451475748849,3174.8125911016955,4861.770517716187,7786.68252060619,12780.08495264102,15452.700709251094,1816.826028018911,6409.453051286636,2044.2433529338048,3187.2779499090275,4510.188152366154,3739.096470360261,6227.348247958697,4143.605483670218,1641.2391645326552,2664.609289204572,3682.6312352611903,3622.4357904856156,14723.312082643199,3951.124672103561,5870.018971931644
20180103,4993.8834207277205,2670.844909255267,991.1189093121333,1992.2727751228504,1351.4806003499355,249.28989664502146,3170.744404798387,4854.599764740205,7762.24732441182,12805.760663244017,15447.817310733475,1803.2777354908058,6381.865735427439,2033.057342794632,3172.012164312474,4508.6275336283115,3734.88419495242,6245.365892075757,4166.378803173764,1662.775381016408,2694.5067286346375,3640.5221462925074,3631.935185041085,14644.996592841906,3956.4848548027007,5889.77125357473
20180104,5010.6847883440405,2677.856841282716,1004.9871776327321,2066.4268486385895,1366.4748377798535,248.08946375588008,3160.9807576704475,4894.038906108109,7664.506539634336,12825.017446196263,15503.162493933152,1826.3098327885848,6476.12239794636,2056.827614340374,3198.1820824779943,4544.5217645986995,3760.1578473994664,6238.60927553186,4177.765462925537,1658.2886692489594,2674.575102347927,3633.8229730474895,3614.519628356058,14693.943773967714,3924.9937814452533,5927.480154893348
20180105,4965.450337069333,2663.131784025073,995.7416654189996,2038.2483007026085,1359.9773348935557,248.8452918712654,3165.0489439737557,4897.6242825961,7650.931430637464,12805.760663244017,15477.117701839186,1827.6646620413953,6471.5245119698275,2041.4468503990115,3188.368363165924,4544.5217645986995,3764.3701228073073,6249.870303105022,4181.181460851069,1662.775381016408,2677.066555633766,3625.2097503038954,3630.3519526151736,14850.574753570301,3931.023986981786,5950.8237604715405
20180108,4993.8834207277205,2677.155648079971,1027.1764069456904,2065.9324881484845,1389.9658097533916,249.15651521289462,3165.8625812344176,4897.6242825961,7642.78636523934,12786.50388029177,15511.301491462516,1822.2453450301532,6538.193858629552,2114.155916303634,3262.516464634899,4491.460727512039,3726.459644136738,6231.852658987962,4199.400116453906,1637.6497951186966,2635.957576417426,3557.2609931044294,3609.769931078323,14855.469471682882,3935.7141468435334,5907.727873250263
20180109,4991.298594940595,2677.856841282716,1036.421919159423,2048.629870994812,1383.9681147814244,249.46773855452386,3169.930767537726,4872.5266471801615,7642.78636523934,12747.990314387276,15462.467506286332,1837.1484668110688,6542.791744606085,2107.164659966651,3249.431505552139,4521.112483531055,3767.1783064125348,6252.122508619654,4185.736124751777,1638.5471374721863,2642.186209632023,3560.132067352294,3635.101649892908,14923.995525259013,3929.013918469608,5916.706183088028
20180110,5014.56202702473,2698.892637365062,1030.8746118311833,2002.159984924949,1356.4786794932415,248.9342128260166,3151.217110542508,4847.429011764222,7621.0661908443435,12863.531012100755,15607.341662309016,1868.3095396257108,6517.503371735155,2108.5629112340475,3246.1602657814487,4524.233721006741,3741.9046539654883,6234.104864502595,4208.509444255324,1641.2391645326552,2645.9233895607813,3561.0890921015825,3620.8525580597043,14928.890243371596,3937.724215355711,5913.114859152922
20180111,5006.807549663352,2691.179512134868,1028.1009581670635,2006.6092293358934,1376.4709960664654,249.7345014187775,3160.9807576704475,4833.087505812257,7694.371779427456,12946.977071560492,15678.964840567422,1862.890222614469,6526.69914368822,2086.1908909557023,3243.9794392676554,4514.870008579683,3740.5005621628748,6202.57398729774,4169.794801099296,1634.0604257047378,2630.9746698457484,3562.0461168508705,3593.9376068192078,14963.15327015966,3934.3741011687484,5898.749563412496
20180112,4951.233795240139,2657.522238403114,1005.9117288541054,1988.317891202011,1344.9830974636377,250.356948102036,3165.0489439737557,4894.038906108109,7762.24732441182,13030.423131020227,15755.471417343446,1864.2450518672795,6483.019226911159,2091.7838960252884,3218.8999343590317,4477.415158871452,3694.1655326766227,6146.268849431929,4149.298813546104,1639.444479825676,2648.41484284662,3562.0461168508705,3555.9400285973306,15124.67896787483,3927.673872794823,5846.675366353451
20180115,4958.988272601518,2665.9365568360527,992.0434605335065,1961.622424736345,1326.4902046334057,250.80155287579205,3194.3398853575745,4883.282776644135,7843.6979783930565,12985.490637464985,15731.054424755353,1902.180270945974,6524.4002006999535,2072.2083782817363,3202.543735505581,4478.975777609295,3691.3573490713957,6209.330603841638,4182.3201268262455,1637.6497951186966,2662.1178359187334,3547.690745611547,3593.9376068192078,14958.25855204708,3896.182799437376,5828.718746677919
20180116,4939.602079198072,2657.522238403114,979.0997434342809,1937.3987607212036,1277.0092211146764,250.44586905678716,3178.8807774050038,4754.209223076448,7724.237019220576,12677.382110229039,15327.360147298883,1873.728856636953,6466.926625993295,2051.2346092707876,3082.598277246945,4469.6120651822375,3670.29597203219,6202.57398729774,4102.613508563834,1634.9577680582274,2660.8721092758137,3514.194879386458,3592.3543743932964,14909.311370921272,3896.182799437376,5774.84888765132
20180117,4966.742749962897,2683.466386904675,982.7979483197739,1936.9044002310989,1283.5067240009744,249.69004094140192,3153.658022324493,4711.184705220553,7680.796670430584,12606.7739060708,15268.75936508746,1873.728856636953,6427.844595192766,2062.42061940996,3078.2366242193584,4454.005877803807,3638.001860572075,6238.60927553186,4098.0588446631255,1629.5737139372893,2634.711849774507,3514.194879386458,3609.769931078323,14830.995881119978,3876.082114315601,5792.805507326853
20180118,4990.006182047032,2705.904569392511,992.9680117548797,1944.3198075826726,1275.5097973716847,248.3117661427581,3134.1307280686137,4750.623846588457,7691.656757628081,12613.19283372155,15301.315355204917,1872.3740273841424,6434.741424157565,2086.1908909557023,3074.9653844486684,4464.930208968708,3661.8714212165078,6231.852658987962,4104.890840514189,1623.2923174628613,2633.466123131587,3526.6362011272054,3601.8537689487657,15188.31030333838,3864.6917260799287,5805.375141099726
20180119,5070.1357814479425,2752.8845139764185,1004.9871776327321,1964.5885876769746,1287.0053794012886,247.51147754999724,3119.4852573767043,4782.892234980379,7637.356321640591,12664.544254927541,15412.005721604273,1860.1805641088479,6453.132968063696,2077.801383351323,3053.1571193107343,4430.5965967361635,3615.536391730256,6261.131330678184,4026.322888226955,1616.1135786349437,2614.7802234877963,3528.5502506257817,3631.935185041085,14968.047988272241,3858.661520543396,5733.548662397595
