TradingDay,hc,rb,i,j,jm,au,ag,v,ru,l,pp,bu,TA,FG,MA,y,p,m,a,c,cs,jd,RM,CF,SR,OI
20180102,,,,,,,,,,,,,,,,,,,,,,,,,,
20180103,,,,,,,,,,,,,,,,,,,,,,,,,,
20180104,,,,,,,,,,,,,,,,,,,,,,,,,,
20180105,,,,,,,,,,,,,,,,,,,,,,,,,,
20180108,,,,,,,,,,,,,,,,,,,,,,,,,,
20180109,,,,,,,,,,,,,,,,,,,,,,,,,,
20180110,,,,,,,,,,,,,,,,,,,,,,,,,,
20180111,,,,,,,,,,,,,,,,,,,,,,,,,,
20180112,,,,,,,,,,,,,,,,,,,,,,,,,,
20180115,,,,,,,,,,,,,,,,,,,,,,,,,,
20180116,,,,,,,,,,,,,,,,,,,,,,,,,,
20180117,,,,,,,,,,,,,,,,,,,,,,,,,,
20180118,,,,,,,,,,,,,,,,,,,,,,,,,,
20180119,,,,,,,,,,,,,,,,,,,,,,,,,,
20180122,,,,,,,,,,,,,,,,,,,,,,,,,,
20180123,-0.006130287397395406,0.009761187187766751,-0.04132043212043701,-0.01072998441860662,-0.040806424138234654,0.0,-0.014195618430759893,-0.008888947417245774,-0.038746627502225905,0.001004016148597131,0.004624285697113706,0.032284535339759834,0.017422662928437305,0.0034141378332579464,-0.02775065346024519,-0.003466207976485336,-0.023557320365281242,0.006848107497875233,-0.029561550253015767,-0.025472030527724954,-0.027970536387041278,-0.045728328310019606,0.007402602931060542,0.034632667324213884,-0.02402724132469558,-0.012001990507508609
20180124,0.01922396763849754,0.03305232446513351,-0.0264665731881637,-0.0072220460834939715,-0.04771825366372262,0.0012476607981550814,-0.015776869335379473,0.007358384931185569,-0.03705447073529733,-0.008557817141305435,0.0007373466389779537,0.07244296116133953,0.03573704192485394,0.003432890429321489,-0.03249194121726795,0.00034608064024155283,-0.017062025276720405,-0.005423987262531682,-0.03844484586415575,-0.03570827055190051,-0.037207023079801615,-0.02556049697953533,-0.004806651159519504,0.03513741869338105,-0.019321794565911432,-0.00949616570908951
20180125,0.0244598181436686,0.03776942185422438,-0.026096541519803118,-0.012760495766220181,-0.03574468400663555,0.009808371098519508,0.00794774084865324,0.0043859719432539634,-0.025835667328914624,-0.0045146803545268455,0.0019929728105001487,0.07844362109635039,0.022464967208156494,0.011490494791599914,-0.031517760320404875,-0.007929708850340944,-0.02457126073050553,0.00396325505258055,-0.03692300059774922,-0.033565737042200894,-0.030262356617808628,-0.031026826852782463,0.013919319990538526,0.03309065225497321,-0.010640223947104843,-0.01711010271500335
20180126,0.03075588392999329,0.03797434190774407,-0.036883613430554796,-0.00999398933710971,-0.04471907971079592,0.00035727045753386477,-0.00025710245674304133,0.014535139619113124,-0.022973013170025425,0.003502630551201591,0.009212795479500713,0.07701594998744898,0.018652661145720728,0.016978336534418048,-0.033736463176078146,-0.0048192864359482,-0.025308244051791107,-0.0014424813175555329,-0.040288821504328,-0.031243977423215163,-0.029754261081793132,-0.03001297083039134,0.0021781755507976897,0.022809721394633442,-0.013729407352021994,-0.016735519148946665
20180129,0.025550700117470626,0.0327222289942819,-0.07667305380558087,-0.02765824046600418,-0.07773804195222045,-0.005367699415003813,-0.004120531197106203,0.006566969969936665,-0.02190786128518951,0.0005018820682511915,0.0036662692300275523,0.0847784024853171,0.009100517830535892,-0.00997017231984998,-0.049676251816331174,0.010026013111561483,-0.009844835287651676,0.014708785358775955,-0.044353167549802563,-0.01657496509421197,-0.011885093549556025,-0.024786778982454294,0.025975486403261527,0.014718172474021074,-0.01890415463915396,-0.010388116636985245
